protocol,mode,requests,repetition,avg_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,cpu_pct,avg_payload_bytes,errors,elapsed_ms,throughput_rps
rest,flat,100,1,58.78,151.78,40.61,159.69,10.07,89,0,608,164.47
rest,flat,100,2,43.23,46.81,40.23,49.05,0.01,89,0,441,226.76
rest,flat,100,3,43.52,46.87,40.35,86.56,0.00,89,0,467,214.13
rest,flat,100,4,43.13,47.20,40.63,52.31,0.54,89,0,439,227.79
rest,flat,100,5,43.94,48.63,40.39,91.00,0.00,89,0,473,211.42
rest,flat,200,1,47.04,77.00,40.15,115.82,27.64,89,0,951,210.30
rest,flat,200,2,49.61,66.02,40.84,118.88,0.00,89,0,1026,194.93
rest,flat,200,3,43.04,46.27,40.57,50.35,7.49,89,0,875,228.57
rest,flat,200,4,42.94,44.72,40.18,52.55,0.00,89,0,873,229.10
rest,flat,200,5,43.42,46.44,40.14,86.01,6.65,89,0,899,222.47
rest,flat,300,1,43.21,45.50,40.57,49.55,0.00,89,0,1305,229.89
rest,flat,300,2,42.88,45.44,40.22,48.49,12.55,89,0,1294,231.84
rest,flat,300,3,42.97,46.25,40.35,50.69,0.00,89,0,1315,228.14
rest,flat,300,4,42.75,46.40,40.08,49.93,11.80,89,0,1292,232.20
rest,flat,300,5,42.29,44.06,39.92,46.38,0.00,89,0,1277,234.93
rest,flat,400,1,42.27,43.93,39.90,50.15,15.15,89,0,1717,232.96
rest,flat,400,2,42.17,43.75,39.84,52.53,14.09,89,0,1713,233.51
rest,flat,400,3,42.66,45.43,39.88,88.24,0.00,89,0,1738,230.15
rest,flat,400,4,42.20,43.74,39.79,46.34,9.76,89,0,258,231.39
rest,flat,400,5,42.31,43.98,39.79,86.55,13.64,89,0,1725,231.88
rest,flat,500,1,42.15,43.98,39.92,47.29,17.61,89,0,2132,234.52
rest,flat,500,2,42.22,43.80,40.08,47.10,14.29,89,0,2128,234.96
rest,flat,500,3,42.98,44.60,40.46,88.53,13.06,89,0,2174,229.99
rest,flat,500,4,43.46,46.82,40.70,53.70,18.67,89,0,2202,227.07
rest,flat,500,5,42.83,44.27,40.42,46.78,13.07,89,0,2150,232.56
rest,flat,1000,1,42.45,44.15,39.85,49.44,16.55,89,0,4270,234.19
rest,flat,1000,2,42.60,44.43,40.27,90.60,15.14,89,0,4285,233.37
rest,flat,1000,3,42.36,44.29,39.86,87.73,14.36,89,0,4255,235.02
rest,flat,1000,4,42.32,44.34,39.82,92.62,15.67,89,0,2757,362.71
rest,flat,1000,5,43.12,45.76,39.90,93.46,15.63,89,0,4328,231.05
rest,flat,2000,1,44.21,55.76,39.90,123.24,28.98,89,0,8858,225.78
rest,flat,2000,2,42.61,44.66,39.81,99.95,14.41,89,0,8552,233.86
rest,flat,2000,3,42.17,43.60,39.63,51.68,16.10,89,0,7006,285.47
rest,flat,2000,4,42.62,44.25,40.03,95.42,15.25,89,0,8552,233.86
rest,flat,2000,5,42.80,45.23,39.89,91.15,15.16,89,0,8587,232.91
rest,nested,100,1,46.56,70.50,40.29,73.11,2.83,217,0,472,211.86
rest,nested,100,2,42.74,46.37,40.46,47.43,0.00,217,0,438,228.31
rest,nested,100,3,42.34,44.42,40.48,45.60,2.20,217,0,431,232.02
rest,nested,100,4,43.54,47.28,40.20,87.43,0.00,217,0,465,215.05
rest,nested,100,5,42.71,45.63,40.09,46.85,2.66,217,0,434,230.41
rest,nested,200,1,42.16,43.74,40.11,46.26,0.84,217,0,-648,229.32
rest,nested,200,2,43.37,46.18,40.48,87.36,0.00,217,0,900,222.22
rest,nested,200,3,43.32,47.64,40.36,87.43,13.17,217,0,891,224.47
rest,nested,200,4,43.55,48.90,40.40,58.72,0.00,217,0,880,227.27
rest,nested,200,5,42.99,48.41,40.15,52.17,10.15,217,0,878,227.79
rest,nested,300,1,43.12,45.76,40.18,91.48,0.00,217,0,1321,227.10
rest,nested,300,2,42.77,44.95,40.68,49.03,13.51,217,0,1291,232.38
rest,nested,300,3,42.84,45.16,40.39,50.03,0.00,217,0,1292,232.20
rest,nested,300,4,44.44,49.74,40.53,85.11,31.71,217,0,1359,220.75
rest,nested,300,5,46.34,61.59,40.65,107.44,0.00,217,0,1408,213.07
rest,nested,400,1,42.89,45.07,40.25,51.85,14.79,217,0,1735,230.55
rest,nested,400,2,42.42,44.35,39.85,49.48,14.66,217,0,1708,234.19
rest,nested,400,3,42.43,43.91,39.85,63.57,0.00,217,0,1713,233.51
rest,nested,400,4,42.33,44.04,39.94,85.21,12.22,217,0,1729,231.35
rest,nested,400,5,42.14,43.52,39.89,48.22,15.16,217,0,1708,234.19
rest,nested,500,1,42.91,45.52,40.49,54.27,18.27,217,0,2155,232.02
rest,nested,500,2,42.83,44.58,40.51,88.32,12.00,217,0,700,241.29
rest,nested,500,3,42.51,43.88,40.36,47.76,14.14,217,0,2154,232.13
rest,nested,500,4,43.13,45.12,40.28,91.82,15.29,217,0,2173,230.10
rest,nested,500,5,42.93,46.05,39.94,54.35,12.62,217,0,2153,232.23
rest,nested,1000,1,42.34,43.81,40.06,47.61,15.93,217,0,4250,235.29
rest,nested,1000,2,42.54,44.14,40.12,87.24,14.95,217,0,4279,233.70
rest,nested,1000,3,42.88,45.53,40.33,89.86,14.60,217,0,4309,232.07
rest,nested,1000,4,42.70,44.76,40.23,86.59,17.18,217,0,4290,233.10
rest,nested,1000,5,42.71,44.90,40.15,85.58,16.84,217,0,2748,363.90
rest,nested,2000,1,42.39,43.91,39.92,84.11,14.93,217,0,8501,235.27
rest,nested,2000,2,42.83,44.51,40.03,110.49,14.70,217,0,8598,232.61
rest,nested,2000,3,43.47,48.30,40.18,89.40,20.20,217,0,8709,229.65
rest,nested,2000,4,42.73,44.93,39.91,108.21,15.39,217,0,7058,283.37
rest,nested,2000,5,42.59,44.40,40.06,92.15,15.27,217,0,8545,234.06
graphql,flat,100,1,66.08,212.65,42.23,216.32,22.42,114,0,689,145.14
graphql,flat,100,2,46.38,57.00,43.14,60.47,0.00,114,0,471,212.31
graphql,flat,100,3,49.46,75.15,42.56,93.68,19.12,114,0,525,190.48
graphql,flat,100,4,46.55,58.07,42.22,62.87,0.00,114,0,475,210.53
graphql,flat,100,5,46.85,55.99,42.31,58.51,23.58,114,0,488,204.92
graphql,flat,200,1,45.57,57.74,41.86,67.75,0.00,114,0,920,217.39
graphql,flat,200,2,44.86,48.15,41.66,54.73,22.58,114,0,901,221.98
graphql,flat,200,3,45.01,51.04,41.35,57.58,0.00,114,0,910,219.78
graphql,flat,200,4,45.43,51.18,41.66,91.36,23.76,114,0,932,214.59
graphql,flat,200,5,44.63,49.71,41.54,62.46,10.93,114,0,423,472.81
graphql,flat,300,1,46.57,55.41,41.50,97.37,0.00,114,0,1417,211.71
graphql,flat,300,2,44.13,48.43,41.66,54.53,21.88,114,0,1334,224.89
graphql,flat,300,3,44.48,48.50,41.08,55.94,0.00,114,0,1339,224.05
graphql,flat,300,4,44.25,48.65,41.27,53.04,22.54,114,0,1332,225.23
graphql,flat,300,5,43.98,47.10,41.22,55.95,0.00,114,0,1329,225.73
graphql,flat,400,1,44.60,47.84,41.48,55.06,24.69,114,0,1794,222.97
graphql,flat,400,2,44.77,49.90,41.42,88.32,19.04,114,0,1812,220.75
graphql,flat,400,3,45.21,52.74,41.37,117.22,25.24,114,0,1819,219.90
graphql,flat,400,4,44.23,47.11,41.39,53.82,18.57,114,0,1775,225.35
graphql,flat,400,5,44.15,47.49,41.24,54.66,0.00,114,0,1776,225.23
graphql,flat,500,1,44.04,46.59,41.74,90.27,18.18,114,0,2232,224.01
graphql,flat,500,2,44.62,47.82,41.73,87.54,27.58,114,0,2260,221.24
graphql,flat,500,3,45.54,57.53,41.40,84.44,20.63,114,0,2301,217.30
graphql,flat,500,4,43.76,46.29,41.11,55.25,24.45,114,0,2192,228.10
graphql,flat,500,5,44.03,45.96,41.04,88.78,17.02,114,0,1711,292.23
graphql,flat,1000,1,44.08,47.52,41.20,86.27,19.89,114,0,4443,225.07
graphql,flat,1000,2,44.00,46.34,41.23,88.83,18.37,114,0,4425,225.99
graphql,flat,1000,3,43.69,45.90,41.01,53.27,18.31,114,0,4379,228.36
graphql,flat,1000,4,44.57,48.76,41.40,92.24,19.67,114,0,4488,222.82
graphql,flat,1000,5,44.04,46.61,41.06,54.67,19.47,114,0,4408,226.86
graphql,flat,2000,1,43.99,46.40,41.36,88.59,19.80,114,0,7309,273.64
graphql,flat,2000,2,43.85,46.05,41.12,90.87,19.96,114,0,8789,227.56
graphql,flat,2000,3,43.90,46.25,41.24,95.00,20.03,114,0,8806,227.12
graphql,flat,2000,4,44.76,51.19,41.21,98.14,26.02,114,0,8958,223.26
graphql,flat,2000,5,43.72,45.81,40.87,103.59,20.00,114,0,7177,278.67
graphql,nested,100,1,51.20,100.15,41.55,103.58,0.00,242,0,527,189.75
graphql,nested,100,2,45.91,52.37,42.28,91.22,5.36,242,0,496,201.61
graphql,nested,100,3,45.39,53.23,42.51,56.60,0.00,242,0,457,218.82
graphql,nested,100,4,45.06,50.28,41.87,52.97,5.32,242,0,455,219.78
graphql,nested,100,5,46.41,52.99,42.32,92.77,0.00,242,0,494,202.43
graphql,nested,200,1,45.26,53.03,42.05,59.76,15.03,242,0,910,219.78
graphql,nested,200,2,45.40,53.26,42.01,95.24,0.00,242,0,936,213.68
