protocol,mode,requests,repetitions,avg_latency_ms,stddev_latency_ms,p95_latency_ms,min_latency_ms,max_latency_ms,avg_cpu_pct,stddev_cpu_pct,avg_payload_bytes,error_count,error_rate_pct,throughput_rps
rest,flat,100,5,46.52,6.86,51.03,40.23,159.69,2.12,4.45,89,0,0.00,205.93
rest,flat,200,5,45.21,2.99,59.65,40.14,118.88,8.36,11.35,89,0,0.00,216.26
rest,flat,300,5,42.82,0.34,45.52,39.92,50.69,4.87,6.67,89,0,0.00,231.37
rest,flat,400,5,42.32,0.20,44.01,39.79,88.24,10.53,6.23,89,0,0.00,279.68
rest,flat,500,5,42.73,0.55,44.88,39.92,88.53,15.34,2.63,89,0,0.00,231.78
rest,flat,1000,5,42.57,0.33,44.51,39.82,93.46,15.47,0.80,89,0,0.00,251.32
rest,flat,2000,5,42.88,0.78,45.29,39.63,123.24,17.98,6.18,89,0,0.00,240.64
rest,nested,100,5,43.58,1.72,47.28,40.09,87.43,1.54,1.42,217,0,0.00,223.21
rest,nested,200,5,43.08,0.55,46.69,40.11,87.43,4.83,6.33,217,0,0.00,344.71
rest,nested,300,5,43.90,1.52,48.53,40.18,107.44,9.04,13.96,217,0,0.00,224.85
rest,nested,400,5,42.44,0.28,44.25,39.85,85.21,11.37,6.46,217,0,0.00,232.75
rest,nested,500,5,42.87,0.23,45.13,39.94,91.82,14.46,2.49,217,0,0.00,267.81
rest,nested,1000,5,42.63,0.20,44.65,40.06,89.86,15.90,1.13,217,0,0.00,251.56
rest,nested,2000,5,42.80,0.41,44.93,39.91,110.49,16.10,2.31,217,0,0.00,241.48
graphql,flat,100,5,51.06,8.49,72.55,42.22,216.32,13.02,12.00,114,0,0.00,188.82
graphql,flat,200,5,45.10,0.39,51.04,41.35,91.36,11.45,11.60,114,0,0.00,244.74
graphql,flat,300,5,44.68,1.07,50.24,41.08,97.37,8.89,12.17,114,0,0.00,222.19
graphql,flat,400,5,44.59,0.43,48.52,41.24,117.22,17.51,10.26,114,0,0.00,222.82
graphql,flat,500,5,44.40,0.71,47.58,41.04,90.27,21.57,4.40,114,0,0.00,233.73
graphql,flat,1000,5,44.08,0.32,47.21,41.01,92.24,19.14,0.75,114,0,0.00,225.80
graphql,flat,2000,5,44.04,0.41,46.71,40.87,103.59,21.16,2.72,114,0,0.00,243.67
graphql,nested,100,5,46.79,2.52,53.46,41.55,103.58,2.14,2.93,242,0,0.00,205.85
graphql,nested,200,5,45.40,0.45,51.35,41.61,95.24,10.45,9.84,242,0,0.00,215.66
graphql,nested,300,5,44.88,0.26,48.79,41.62,92.54,11.53,11.45,242,0,0.00,282.01
graphql,nested,400,5,44.86,0.56,48.97,41.40,90.36,19.93,11.41,242,0,0.00,221.09
graphql,nested,500,5,45.21,0.84,49.11,41.77,96.11,23.45,2.91,242,0,0.00,218.49
graphql,nested,1000,5,44.84,0.51,47.91,41.50,135.16,25.16,1.51,242,0,0.00,238.56
graphql,nested,2000,5,44.90,0.33,48.21,41.31,100.20,24.00,1.52,242,0,0.00,238.74
grpc,flat,100,5,54.67,6.67,59.96,46.00,186.07,6.17,5.73,42,0,0.00,181.82
grpc,flat,200,5,50.11,0.76,52.93,46.41,59.58,3.77,5.40,42,0,0.00,199.36
grpc,flat,300,5,48.63,0.98,51.76,45.25,74.84,5.89,6.11,42,0,0.00,205.51
grpc,flat,400,5,47.90,0.83,50.43,45.11,74.92,5.39,2.25,42,0,0.00,248.11
grpc,flat,500,5,47.77,0.39,50.56,45.05,60.58,4.85,0.51,42,0,0.00,209.29
grpc,flat,1000,5,48.18,0.55,52.49,45.51,84.82,6.25,1.56,42,0,0.00,221.61
grpc,flat,2000,5,47.78,0.44,50.74,45.01,60.11,5.54,0.33,42,0,0.00,224.26
grpc,nested,100,5,53.39,5.50,68.45,45.44,134.08,3.29,6.22,100,0,0.00,186.85
grpc,nested,200,5,51.03,0.51,55.66,46.55,69.50,3.56,3.61,100,0,0.00,195.77
grpc,nested,300,5,48.74,0.76,51.35,45.89,60.73,1.89,2.59,100,0,0.00,205.11
grpc,nested,400,5,47.93,0.36,51.15,45.34,60.43,5.25,0.66,100,0,0.00,250.75
grpc,nested,500,5,48.08,0.34,51.20,45.85,59.07,5.31,1.10,100,0,0.00,207.92
grpc,nested,1000,5,48.08,0.47,51.40,42.95,69.52,6.76,2.83,100,0,0.00,222.06
grpc,nested,2000,5,47.94,0.14,50.72,45.50,63.73,5.89,0.39,100,0,0.00,223.32
